Latent1,Latent2,Label
0.63014954,0.44053409,7
0.8834851,0.354566,2
1.3100795,0.2934807,1
-0.5303278,-1.4132502,0
0.41383708,-0.9571144,4
1.3991905,2.0324523,1
0.6383932,0.44310948,4
-0.09460211,-0.97424567,9
0.6817298,1.2448515,5
-0.99649805,1.1635454,9
0.6027126,0.5111465,0
-0.09695776,-0.67416805,6
0.6911854,-1.4253308,9
2.6310914,-0.17812245,0
0.12746526,0.19861835,1
1.3468872,1.2592903,5
0.7714648,0.7300239,9
-1.0942147,-0.37688676,7
0.6767949,-0.21179049,3
1.0322648,0.94385433,4
0.33279026,-0.96925586,9
0.32787097,-0.64869225,6
-1.5091002,-1.0990813,6
0.15192619,1.0723022,5
-1.2220225,0.9473161,4
-0.06958513,-0.05734358,0
-1.6809745,-0.15650684,7
-1.0938895,-0.13015257,4
-0.928517,0.13072671,0
-0.7851965,-1.3720421,1
-0.78798795,0.2538449,3
0.8354702,0.67519844,1
1.3370348,-1.0389037,3
-0.40363747,-1.4726202,4
0.2114236,-0.38304245,7
-1.0867348,-0.36778238,2
-0.66743773,1.5787926,7
-1.0381179,0.91674155,1
-0.36002883,-1.6744022,2
0.7375019,0.9264336,1
0.9169692,1.2924849,1
0.8035218,0.80118656,7
-0.66395766,0.25641173,4
-0.4237951,-1.1691371,2
1.1053195,-0.11241453,3
-0.31797242,-0.3873394,5
-0.5247992,0.7071694,1
-1.0968409,-0.9660343,2
0.20602004,1.3126737,4
-1.4970726,-1.3066608,4
2.0520744,1.170763,6
0.8083631,-1.02319,3
0.46556285,0.36261073,5
1.2212479,1.2875359,5
-0.14364183,0.263686,6
-0.9452879,0.0055735796,0
-1.7338324,-0.5455397,4
-0.49685133,-1.2259064,1
-0.2215121,1.6168382,9
-0.64984715,-0.1510965,5
1.8390708,-0.9094568,7
-0.3029111,0.90014803,8
0.67287785,1.2232014,9
-0.9631103,0.6483063,3
0.36311552,-0.4144765,7
0.6073031,1.3622491,4
-1.2533306,0.45175165,6
0.15124844,-0.56417716,4
-1.8644927,-0.07905741,3
-0.46211472,0.8697898,0
-1.4442136,-0.041433163,7
-0.29030457,-0.13322012,0
0.61494184,-0.44496694,2
0.2309402,-1.717899,9
-0.38980615,1.4119216,1
-0.7784002,-0.047299534,7
-0.9907734,1.4298359,3
1.7872432,-0.7436952,2
0.116679005,0.9589031,9
-0.93581885,0.2987119,7
1.8691539,0.27579984,7
1.4815371,-0.11376954,6
0.9534119,1.1319602,2
-0.34475154,1.4934074,7
-0.9580049,-0.2646831,8
0.054991573,-0.4898817,4
0.08934726,0.33047238,7
0.42478427,-0.9829973,3
-0.62598354,0.58795005,6
-1.232121,-0.02225831,1
-0.4446776,1.2046704,3
0.5139427,-0.423957,6
-0.25287077,-0.29935104,9
-0.1832927,-0.41367784,3
-0.9587105,0.7883961,1
-0.65692586,0.8117274,4
0.5504087,-0.38320333,1
0.95265096,0.16243711,7
1.5829537,1.1471089,6
-0.27937976,2.105154,9
-0.34657225,0.90269876,6
0.31679797,0.86878747,0
-0.7124039,0.39166704,5
0.3929386,-0.77632284,4
-0.052959327,-0.6631009,9
-0.74451315,-1.104585,9
-0.19900833,1.7962425,2
-0.030688658,-1.8830979,1
-1.7333554,-1.1203098,9
-0.9350191,1.3633348,4
1.0223116,0.4473753,8
-1.3910185,1.5162987,7
-0.78493017,1.435209,3
-0.92052305,-0.13127878,9
1.2246009,-0.14561805,7
0.8446324,-1.5057384,4
-0.9563859,-1.2920876,4
0.2083828,1.6850983,4
1.14602,-1.4396783,9
1.0500573,-0.18588623,2
0.45984414,0.29422906,5
-0.7967488,0.5824833,4
-0.5421339,-0.6856287,7
0.55297077,-1.0331632,6
-0.42736498,0.83844495,7
-0.57895964,1.3346169,9
2.5601542,1.1633921,0
-0.29833534,1.38591,5
2.3631938,0.27855366,8
0.112647876,-0.0560624,5
-0.42619208,0.13400753,6
0.29614738,0.74008685,6
1.0273777,-0.12033758,5
-0.34034777,1.0139385,7
0.41094273,-0.3279002,8
0.6769504,0.41326666,1
0.7434682,-0.8708709,0
-0.095316336,-0.69203717,1
-0.047080334,0.02074949,6
-0.67815256,-1.3930635,4
0.12172072,-0.43731955,6
1.1515945,0.9751686,7
0.8414959,-1.4420375,3
0.7808686,-1.8258356,1
0.37959978,2.5433488,7
-0.08400838,0.2685241,1
-0.62663513,0.09622732,8
-2.434088,0.7393074,2
2.1036456,-0.17942268,0
-0.18617609,0.6919368,2
0.72020614,0.5326657,9
-0.14335617,0.2535228,9
0.43861422,0.7196102,5
0.92188644,1.0589572,5
1.449982,0.94801915,1
0.14988765,-0.9904985,5
-2.4305036,-0.77453834,6
0.81041145,0.63654953,0
-0.7077876,-1.3879992,3
0.12287533,1.8028779,4
-0.72050804,-0.32395247,4
0.91601026,0.2575394,6
0.9928896,-2.080237,5
-0.5967002,-0.54173625,4
-1.6161826,-0.036670186,6
-0.77644116,-0.43178496,5
2.3316314,0.6212791,4
