Latent1,Latent2,Label
0.34136802,0.032239195,7
-0.08101023,0.028498407,2
0.22929618,-0.3232131,1
-0.26406235,0.06267387,0
0.06887655,0.15751934,4
0.17760718,-0.26639023,1
0.09127103,0.07702175,4
-0.0054096654,0.10643329,9
-0.019552134,0.01630206,5
0.20085499,0.06811659,9
-0.33316237,0.103467494,0
-0.22045991,0.17130199,6
0.084815055,0.08274104,9
-0.27676243,0.079874456,0
0.19078892,-0.18217216,1
-0.059690773,-0.0048282146,5
0.08953136,0.12650256,9
0.3823244,0.070882946,7
-0.067613766,0.028731983,3
0.046802115,0.08772826,4
0.16074634,0.02621242,9
-0.07101228,0.07647113,6
-0.09250107,0.21259587,6
-0.025491662,-0.058985163,5
0.029722912,0.10326646,4
-0.32358024,0.04877736,0
0.5316159,0.15487134,7
0.06094873,0.12672243,4
-0.25468192,0.06486093,0
0.22190139,-0.1582634,1
-0.0045407787,-0.02370553,3
0.28799617,-0.19000308,1
-0.0049623214,-0.004254326,3
-0.15883374,0.1813381,4
0.21795055,0.016986724,7
-0.14114514,-0.005235359,2
0.37173826,0.04248634,7
0.21729356,-0.15954095,1
-0.0785686,0.030928466,2
0.16518575,-0.1792701,1
0.2848478,-0.24425979,1
0.27437714,0.018781897,7
0.071996346,0.0947469,4
-0.11063548,-0.008823674,2
0.003207557,-0.0100696385,3
-0.045850895,-0.037838522,5
0.027466493,-0.0048454814,1
-0.11387388,0.06545099,2
0.09312578,0.13350219,4
0.040870823,0.18798763,4
-0.07915106,0.057093002,6
-0.053612567,0.006992651,3
-0.038393468,-0.0561946,5
-0.042621456,-0.005523581,5
-0.23652792,0.2453533,6
-0.22105324,0.04739817,0
0.10708826,0.19013304,4
0.23491085,-0.30914983,1
0.10832699,0.14682184,9
-0.013854839,-0.10708831,5
0.63188726,0.24456619,7
-0.094556354,-0.07378858,8
0.048829746,0.04581396,9
-0.056602314,-0.040179234,3
0.18750286,0.044329282,7
0.033741057,0.028437251,4
-0.17269087,0.1753396,6
0.09608291,0.15223818,4
-0.0021185353,-0.027095836,3
-0.43550718,0.14663003,0
0.37257963,0.09246503,7
-0.3407236,0.10841888,0
-0.1276716,0.020093953,2
-0.00561928,-0.094064906,9
0.19063151,-0.16983707,1
0.07252213,0.033650283,7
-0.018614687,-0.014718469,3
-0.05830504,0.09201911,2
0.08558829,-0.03966778,9
0.256405,0.047666777,7
0.05642291,0.13482727,7
-0.123799734,0.09848097,6
-0.15554655,0.018616788,2
0.4634024,0.1479333,7
-0.0040875524,-0.02854767,8
0.07670839,0.15045775,4
0.22761539,-0.00833169,7
-0.007751003,0.010185849,3
-0.14143518,0.15608212,6
0.12962982,-0.22137706,1
-0.059393086,-0.024951201,3
-0.08625152,0.08831668,6
0.11631842,-0.0018066727,9
-0.017662063,-0.025177896,3
0.1552799,-0.11964774,1
0.10981727,0.11635347,4
0.21613708,-0.1352496,1
0.046166472,0.01122912,7
-0.13924366,0.07650766,6
0.0560031,0.14354149,9
-0.14077348,0.1653582,6
-0.31485868,0.09126212,0
-0.02482114,-0.039440807,5
0.07132068,0.19247226,4
0.016102158,0.18064074,9
0.0610646,0.13695918,9
-0.16937122,0.00635086,2
0.09334992,-0.22791393,1
0.032210942,0.061250266,9
0.066006765,0.0811576,4
-0.03690821,-0.06735572,8
