Latent1,Latent2,Label
-0.79962146,-0.14406335,7
9.098555,8.299096,2
-9.563924,-8.320195,1
3.9373598,-3.502589,0
-0.14391428,0.66995883,4
-7.18287,-6.603543,1
-0.15102507,0.19684863,4
-0.28797558,1.5290229,9
0.14799152,-0.073103696,5
-0.40033033,-0.065925,9
7.287831,-6.41339,0
2.3050113,-1.0216446,6
-0.56334597,0.6662375,9
4.334454,-3.4135153,0
-7.035443,-3.6171434,1
0.763348,0.525839,5
-0.33718222,0.74563825,9
-4.5355234,6.8602157,7
0.5910898,0.9177085,3
-0.51543313,0.8840014,4
-0.72089034,0.1286783,9
1.0731388,-0.49786103,6
2.3287292,-0.78336567,6
0.24286592,-0.44415814,5
-0.43713912,1.1096128,4
6.610912,-6.4285173,0
-3.0818157,6.434861,7
-0.24716814,0.705836,4
3.4949772,-2.997596,0
-8.644548,-1.9135175,1
3.3395498,3.290901,3
-8.883278,-1.7935829,1
3.0236228,4.10562,3
4.415986,-2.4630246,4
-0.75390404,-0.5208694,7
14.416558,4.330552,2
-5.1695647,7.8187656,7
-8.095698,-2.7712588,1
3.7859745,2.2682786,2
-5.776295,-3.4452507,1
-11.630581,-6.3328876,1
-0.4612496,-0.13256235,7
-0.5053592,0.7362462,4
0.780819,-1.2675031,2
2.7406387,2.0504792,3
0.48132157,-0.39827996,5
-0.5125754,1.9601941,1
5.957893,2.3075883,2
-0.19728227,0.54561186,4
-0.06765773,0.7857544,4
0.8254329,-0.7742585,6
0.85870486,1.039284,3
0.12618123,-0.3471522,5
0.7209103,0.49102122,5
3.1645207,-1.2755489,6
3.1115522,-2.7901318,0
0.036895096,0.41528282,4
-10.113731,-8.074816,1
-0.31895557,0.6611648,9
-0.47003964,-2.257507,5
-3.2938173,7.9162416,7
-0.13700287,-1.1895688,8
-0.5876674,0.9855294,9
-0.9834807,-1.5887282,3
-0.38395527,-0.28277025,7
-0.85750955,1.1923661,4
2.2102144,-0.88044417,6
-0.10874612,0.4771924,4
3.0359867,3.2499044,3
13.3076725,-17.28718,0
-0.7066916,-0.15698743,7
7.751241,-6.734098,0
10.653086,1.9192102,2
-0.43120188,-0.43890294,9
-6.58577,-3.033943,1
-0.927398,0.8052482,7
3.5759623,3.763419,3
2.6036534,0.7112969,2
-0.98978454,0.06283948,9
-0.34977308,-0.26059628,7
-0.6742468,1.5509675,7
1.4076611,-0.87402403,6
12.055979,4.0390134,2
-2.0642734,3.8783169,7
0.28401664,0.024225283,8
-0.045378722,0.44487792,4
-1.0585939,-0.13951027,7
1.041474,1.3234081,3
1.7967755,-0.74809587,6
-4.9040074,-5.1414213,1
1.2426041,0.62556213,3
1.1793914,-0.73228633,6
-0.17694989,-0.4221822,9
2.8189058,2.3784392,3
-5.988753,-1.9536444,1
-0.18500261,0.38361692,4
-5.81665,0.07419771,1
-0.44781843,0.17121665,7
1.0327351,-0.6418513,6
-0.23967437,0.93242943,9
1.6811142,-0.61764383,6
7.1361995,-6.2661047,0
0.14626564,-0.20667316,5
-0.10426713,0.7726726,4
-0.048327982,1.1433417,9
-0.32831448,0.8852396,9
12.94628,1.5088105,2
-5.546665,-6.775248,1
-0.74334,1.3626347,9
-0.3862526,0.55237556,4
-0.029408695,-0.8456707,8
-1.9175899,-0.6186482,7
0.31846,1.3324747,3
-0.4888118,1.0182183,9
-0.73774236,0.41912416,7
-0.6736139,0.55482006,4
-0.75696623,0.9638382,4
0.14979027,0.51198065,4
-0.6491062,0.70260835,9
0.98297,0.22108555,2
0.6362289,0.27463877,5
-0.067902826,-0.024240531,4
-4.426199,3.5163455,7
1.3839943,-0.8392672,6
-2.5332541,3.6393847,7
-0.44937524,1.1555998,9
9.550575,-6.069021,0
0.15018095,-0.25127086,5
0.3199609,-0.053895745,8
0.19061805,-0.33424532,5
1.458694,-1.0342205,6
1.3783267,-1.2578397,6
0.67224497,0.14098284,5
-0.08944648,0.29097748,7
-0.97205055,-1.0939388,8
-6.2616334,-3.489386,1
3.777485,-3.26634,0
-4.456817,-4.897081,1
1.8123798,-0.7648933,6
-0.1377507,0.052741166,4
0.93576986,-0.65327585,6
-3.978531,8.573843,7
1.099723,1.4152702,3
-9.406347,-7.0487647,1
-0.48910478,0.0782986,7
-10.227249,-2.3962653,1
0.06670528,-0.3273737,8
11.493696,2.7538908,2
3.628325,-3.2913597,0
0.6192542,0.04965877,2
-0.39455438,0.9621419,9
0.5297164,0.6381137,9
0.03967867,-0.2554853,5
0.5396389,-0.21218692,5
-10.061468,-4.2184434,1
0.21644095,-0.4190334,5
1.8586091,-0.6886826,6
3.4187033,-2.8019106,0
1.0475278,0.6197355,3
-0.6601895,0.9035098,4
-0.34298962,0.7401605,4
1.5308818,-1.3027973,6
0.26193917,-0.27288148,5
-0.053798147,0.5746823,4
1.5095695,-0.5599319,6
0.78191507,0.34935746,5
-0.33793193,0.6094792,4
0.36380905,-8.231624,5
-7.931702,-2.9392574,1
-0.6572014,1.0745914,4
-0.54641396,1.2164427,4
-0.49729264,-0.5060214,7
3.6495016,2.2601366,2
0.95201045,0.7516395,3
9.197519,4.283689,2
-1.7806494,0.12913099,7
-11.075278,-6.9644203,1
0.38249046,-0.16082637,8
-9.30804,-5.137616,1
0.37747154,-0.14502026,8
-9.995523,-5.153577,1
0.5567051,-0.11656198,8
